,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Duration in minutes,IMDB User Rating,Metascore from Metacritic
0,The Dark Knight,2008,"['Action, Crime, Drama']",Christopher Nolan ,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","['When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.']",152,9,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""fe19ddab-178f-4907-8957-59a57a9aa3be"")>"
1,Inception,2010,"['Action, Adventure, Sci-Fi']",Christopher Nolan ,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",['A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.'],148,8.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""1ff083ad-e886-4531-9e68-e73caa822c78"")>"
2,Kill Bill: Vol. 1,2003,"['Action, Crime, Drama']",Quentin Tarantino ,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen","['After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.']",111,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""79cc3973-0398-42f7-b18e-0667f3695713"")>"
3,Gladiator,2000,"['Action, Adventure, Drama']",Ridley Scott ,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",['A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.'],155,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""eb5f8349-58ce-4666-937d-effef51a7095"")>"
4,Terminator 2: Judgment Day,1991,"['Action, Sci-Fi']",James Cameron ,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","['A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.']",137,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""fcd343d4-8c98-4a33-9cea-1fbc2dfc9067"")>"
5,The Bourne Ultimatum,2007,"['Action, Mystery, Thriller']",Paul Greengrass ,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",['Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.'],115,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""35c3d89d-f0f6-47e0-937f-15eec7bb3be3"")>"
6,The Dark Knight Rises,2012,"['Action, Adventure']",Christopher Nolan ,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","[""Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.""]",164,8.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""ef1abc79-1c82-4f81-8ed4-605b0ea1aa47"")>"
7,The Matrix,1999,"['Action, Sci-Fi']","Lana Wachowski, Lilly Wachowski ","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","['When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.']",136,8.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""33dcf133-d88c-48e1-81f9-a691d1f252b8"")>"
8,Avatar,2009,"['Action, Adventure, Fantasy']",James Cameron ,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",['A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.'],162,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""6a38ca52-03c0-49f0-bd17-3fe213be26dd"")>"
9,Minority Report,2002,"['Action, Crime, Mystery']",Steven Spielberg ,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","['In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.']",145,7.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""00f2ca9e-37b1-4b64-88a5-1d49d89fbc86"")>"
10,Leon,1994,"['Action, Crime, Drama']",Luc Besson ,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","[""Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.""]",110,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""60e55cae-2119-4867-b7bb-9f6511497e6f"")>"
11,Hot Fuzz,2007,"['Action, Comedy, Mystery']",Edgar Wright ,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",['A skilled London police officer is transferred to a small town with a dark secret.'],121,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""b89397b5-c062-427e-ae05-7826ec01ec87"")>"
12,Kill Bill: Vol. 2,2004,"['Action, Crime, Thriller']",Quentin Tarantino ,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah","['The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.']",137,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""a2601c50-0c49-4513-b0f4-93b09a806a9c"")>"
13,Casino Royale,2006,"['Action, Adventure, Thriller']",Martin Campbell ,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright","['After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.']",144,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""803c5c08-83e2-401c-9354-6bc95b03c305"")>"
14,Apocalypto,2006,"['Action, Adventure, Drama']",Mel Gibson ,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood","['As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.']",139,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""f378d702-8036-45a8-b423-b8629180e355"")>"
15,Mad Max: Fury Road,2015,"['Action, Adventure, Sci-Fi']",George Miller ,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz","['In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.']",120,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""0df155fd-4508-43d6-a25e-f48c44afa5c8"")>"
16,The Revenant,2015,"['Action, Adventure, Drama']",Alejandro G. Iñárritu ,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",['A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.'],156,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""d81a5b86-f6dc-4ebb-b435-b0d2b65caf82"")>"
17,Die Hard,1988,"['Action, Thriller']",John McTiernan ,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",['An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.'],132,8.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""510f6fcc-aaf4-4a1e-8b39-e1de85805432"")>"
18,The Fugitive,1993,"['Action, Crime, Drama']",Andrew Davis ,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","['Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.']",130,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""cb77fd34-d67c-4509-88f3-34524aac5f7d"")>"
19,Indiana Jones and the Last Crusade,1989,"['Action, Adventure']",Steven Spielberg ,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott","['In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler\'s Nazis again to stop them from obtaining its powers.']",127,8.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""3ea7e8cf-e1d9-45c7-9e42-a11d093c3ee3"")>"
20,Ghost Dog: The Way of the Samurai,1999,"['Action, Crime, Drama']",Jim Jarmusch ,"Forest Whitaker, Henry Silva, John Tormey, Cliff Gorman",['An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.'],116,7.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""960105d8-fc3d-4afb-b270-6d761ec1b88e"")>"
21,The Magnificent Seven,1960,"['Action, Adventure, Western']",John Sturges ,"Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach",['Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.'],128,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""3237c548-6a1d-4ed0-a499-d1c3bbb4b107"")>"
22,Avengers: Endgame,2019,"['Action, Adventure, Drama']","Anthony Russo, Joe Russo ","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","[""After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.""]",181,8.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""75c548e3-be94-4dd4-9e6a-c7f5d100ce95"")>"
23,V for Vendetta,2005,"['Action, Drama, Sci-Fi']",James McTeigue ,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea","['In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.']",132,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""8bce88fd-9542-49d7-92a8-e80fb41a9f9d"")>"
24,Star Wars: Episode IV - A New Hope,1977,"['Action, Adventure, Fantasy']",George Lucas ,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","[""Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.""]",121,8.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""82b45bc2-8a1b-4457-b154-a45d853e646d"")>"
25,Batman Begins,2005,"['Action, Adventure']",Christopher Nolan ,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson","['After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.']",140,8.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""0cb1d3eb-a4dc-4e59-b377-8e2a43609305"")>"
26,Raiders of the Lost Ark,1981,"['Action, Adventure']",Steven Spielberg ,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies","[""In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.""]",115,8.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""5921dfb0-e491-46ab-b1c1-63bb7e422dc0"")>"
27,The Terminator,1984,"['Action, Sci-Fi']",James Cameron ,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","[""A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.""]",107,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""2b9df61b-0653-4de5-8ddb-3cbb95e97319"")>"
28,Ronin,1998,"['Action, Crime, Thriller']",John Frankenheimer ,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård",['A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.'],122,7.3,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""6d46f4d5-366e-4229-b6ff-36314f9b9407"")>"
29,True Lies,1994,"['Action, Comedy, Thriller']",James Cameron ,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton","['A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.']",141,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""66a423cd-387a-458f-a7fb-f8f35e81d53b"")>"
30,Aliens,1986,"['Action, Adventure, Sci-Fi']",James Cameron ,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser","['Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.']",137,8.3,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""9dcfae06-5506-4cf2-9511-32936bf0867d"")>"
31,Dunkirk,2017,"['Action, Drama, History']",Christopher Nolan ,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy","['Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.']",106,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""5ff9bc33-4ddf-47db-a07c-0657b1c5095e"")>"
32,Midnight Run,1988,"['Action, Comedy, Crime']",Martin Brest ,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton","['An accountant is chased by bounty hunters, the F.B.I., and the Mafia after jumping bail.']",126,7.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""2ae2e54c-31a3-4893-a15a-5abf307b4339"")>"
33,Oldboy,2003,"['Action, Drama, Mystery']",Park Chan-Wook ,"Choi Min-sik, Yoo Ji-Tae, Kang Hye-jeong, Kim Byeong-Ok","['After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.']",120,8.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""6891d731-da4d-4c56-a76b-d714784401dd"")>"
34,Sherlock Holmes,2009,"['Action, Adventure, Mystery']",Guy Ritchie ,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",['Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.'],128,7.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""39eff779-7a67-4a3e-880c-fd09c52cac38"")>"
35,Mission: Impossible,1996,"['Action, Adventure, Thriller']",Brian De Palma ,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny","['An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.']",110,7.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""bdf68831-420b-4073-b045-ac603ac92924"")>"
36,Face/Off,1997,"['Action, Crime, Sci-Fi']",John Woo ,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","['To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge.']",138,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""16d8c50e-b255-435d-b91c-54639317e55f"")>"
37,Scott Pilgrim vs. the World,2010,"['Action, Comedy, Fantasy']",Edgar Wright ,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick","[""In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.""]",112,7.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""0eac97e7-ba53-46f3-bc23-135fa1610511"")>"
38,Spider-Man,2002,"['Action, Adventure, Sci-Fi']",Sam Raimi ,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco","['When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.']",121,7.3,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""888a1984-69b9-4d87-b11c-96210bc41363"")>"
39,Taken,2008,"['Action, Crime, Thriller']",Pierre Morel ,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","['A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.']",90,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""a91542d5-35c0-4ab1-8596-b47940f31dfd"")>"
40,Defiance,2008,"['Action, Drama, History']",Edward Zwick ,"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos","['Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.']",137,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""29f93b24-4989-4003-9012-2f88c30ea28b"")>"
41,Rush,2013,"['Action, Biography, Drama']",Ron Howard ,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",['The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.'],123,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""fa317080-e9e5-4915-b524-ce1d77840ab7"")>"
42,Avengers Assemble,2012,"['Action, Adventure, Sci-Fi']",Joss Whedon ,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner","[""Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.""]",143,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""124052d0-a353-485f-80cb-20f3df7066fe"")>"
43,Baby Driver,2017,"['Action, Crime, Drama']",Edgar Wright ,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González","['After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.']",113,7.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""88e78bf1-647f-4789-ac4c-78e68221dc98"")>"
44,Mission: Impossible II,2000,"['Action, Adventure, Thriller']",John Woo ,"Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames","['IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".']",123,6.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""7cf30748-11be-4547-8097-a5f3cfd4a6f0"")>"
45,Bonnie and Clyde,1967,"['Action, Biography, Crime']",Arthur Penn ,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman","['Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.']",111,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""f2f4b4d7-4f2c-4c1f-a129-f78b8d606918"")>"
46,Grindhouse,2007,"['Action, Horror, Thriller']","Robert Rodriguez, Eli Roth, Quentin Tarantino, Edgar Wright, Rob Zombie ","Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell","[""Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them.""]",191,7.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""23cb67d6-33a5-4c86-aee8-36427303aa1b"")>"
47,Kick-Ass,2010,"['Action, Comedy, Crime']",Matthew Vaughn ,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown","['Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.']",117,7.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""51459ef9-04a7-4329-a4da-69973fd43885"")>"
48,Enemy of the State,1998,"['Action, Thriller']",Tony Scott ,"Will Smith, Gene Hackman, Jon Voight, Lisa Bonet",['A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.'],132,7.3,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""97b36e8b-78f4-4380-bc48-bfbe39860006"")>"
